,#,Date,Away_Team,1Q,2Q,3Q,4Q,Total,Home_Team,1Q.1,2Q.1,3Q.1,4Q.1,Total.1,Game_Total,Over/Under,Result,Favorite,Spread,Home_Pts/G,Home_Opp_Pts/G,Home_SRS,Home_Pace,Home_Off_Rat,Home_Def_Rat,Away_Pts/G,Away_Opp_Pts/G,Away_SRS,Away_Pace,Away_Off_Rat,Away_Def_Rat,Favorite_binary,Points_Diff_Fav-Under,Diff_from_Spread,Spread_Winner
0,2,10/17/2017,BOS,19,19,33,28,99,CLE,29,25,18,30,102,201,216.0,Under,CLE,4.5,109.6,109.3,-0.13,97.9,111.8,111.5,103.1,98.3,4.3,96.0,107.0,102.0,Home,3,-1.5,Underdog
1,3,10/17/2017,HOU,34,28,26,34,122,GSW,35,36,30,20,121,243,231.0,Over,GSW,9.5,115.6,107.7,8.19,100.1,115.0,107.1,113.8,106.1,7.39,98.6,114.9,107.1,Home,-1,-10.5,Underdog
2,4,10/18/2017,BRK,30,33,35,33,131,IND,29,36,41,34,140,271,216.5,Over,IND,3.0,106.5,105.3,0.74,96.3,110.2,108.9,105.2,108.8,-3.53,99.2,105.5,109.1,Home,9,6.0,Favorite
3,5,10/18/2017,PHI,23,36,23,33,115,WAS,32,24,34,30,120,235,217.5,Over,WAS,6.5,107.3,105.6,1.11,97.4,109.5,107.8,107.9,106.9,1.67,99.5,107.5,106.5,Home,5,-1.5,Underdog
4,6,10/18/2017,MIA,37,18,23,31,109,ORL,32,26,30,28,116,225,205.5,Over,MIA,3.5,105.7,110.3,-4.46,98.9,106.7,111.4,100.2,100.9,-0.84,94.9,105.2,105.9,Away,-7,-10.5,Underdog
5,7,10/18/2017,CHO,27,18,25,20,90,DET,29,27,26,20,102,192,202.0,Under,DET,3.0,102.8,103.1,-0.04,96.0,106.8,107.1,105.7,105.6,0.31,98.3,107.1,107.0,Home,12,9.0,Favorite
6,8,10/18/2017,MIL,24,34,18,32,108,BOS,26,27,27,20,100,208,203.0,Over,BOS,1.5,103.1,98.3,4.3,96.0,107.0,102.0,104.8,105.4,-0.51,95.6,109.2,109.8,Home,-8,-9.5,Underdog
7,9,10/18/2017,NOP,34,18,18,21,91,MEM,27,27,25,24,103,194,204.5,Under,MEM,2.0,99.8,102.5,-2.27,93.8,106.3,109.2,110.8,110.7,0.07,99.5,109.8,109.7,Home,12,10.0,Favorite
8,10,10/18/2017,ATL,27,31,24,35,117,DAL,24,23,35,29,111,228,199.0,Over,DAL,5.5,101.4,103.7,-1.57,95.1,106.2,108.6,103.6,108.3,-4.73,97.2,106.4,111.2,Home,-6,-11.5,Underdog
9,11,10/18/2017,DEN,30,28,25,13,96,UTA,21,28,29,28,106,202,205.0,Under,UTA,2.5,102.0,102.1,0.63,95.3,106.6,106.7,106.6,105.9,0.5,96.4,109.8,109.2,Away,-10,-12.5,Underdog
10,12,10/18/2017,MIN,25,24,28,22,99,SAS,32,21,34,20,107,206,203.5,Over,SAS,1.0,100.7,97.6,2.61,94.3,106.8,103.5,108.9,105.7,3.2,95.4,113.4,110.1,Home,8,7.0,Favorite
11,13,10/18/2017,HOU,26,26,23,30,105,SAC,25,23,24,28,100,205,216.5,Under,HOU,7.0,98.2,106.5,-8.1,95.0,103.1,111.8,113.8,106.1,7.39,98.6,114.9,107.1,Away,5,-2.0,Underdog
12,14,10/18/2017,POR,29,31,38,26,124,PHO,21,14,20,21,76,200,219.5,Under,POR,2.5,104.9,111.8,-6.85,99.6,105.1,112.0,104.9,103.1,1.33,96.4,108.4,106.4,Away,48,45.5,Favorite
13,15,10/19/2017,CHI,23,14,27,36,100,TOR,25,33,26,33,117,217,206.5,Over,TOR,13.5,111.2,104.2,6.58,98.1,112.9,105.7,103.6,109.3,-5.29,98.1,104.1,109.8,Home,17,3.5,Favorite
14,16,10/19/2017,NYK,24,18,17,25,84,OKC,27,26,26,26,105,189,215.5,Under,OKC,12.0,106.5,102.5,3.83,95.8,110.3,106.1,104.5,105.9,-1.57,96.2,107.5,108.9,Home,21,9.0,Favorite
15,17,10/19/2017,LAC,27,26,34,21,108,LAL,19,23,21,29,92,200,219.0,Under,LAC,6.5,106.7,110.3,-3.14,100.9,104.2,107.8,107.6,107.3,0.27,98.3,109.2,108.9,Away,16,9.5,Favorite
16,18,10/20/2017,BOS,24,22,23,33,102,PHI,21,29,22,20,92,194,216.5,Under,PHI,3.0,107.9,106.9,1.67,99.5,107.5,106.5,103.1,98.3,4.3,96.0,107.0,102.0,Home,-10,-13.0,Underdog
17,19,10/20/2017,ATL,28,28,17,18,91,CHO,18,31,35,25,109,200,205.5,Under,CHO,4.5,105.7,105.6,0.31,98.3,107.1,107.0,103.6,108.3,-4.73,97.2,106.4,111.2,Away,-18,-22.5,Underdog
18,20,10/20/2017,DET,31,34,16,30,111,WAS,29,29,33,24,115,226,211.5,Over,WAS,6.5,107.3,105.6,1.11,97.4,109.5,107.8,102.8,103.1,-0.04,96.0,106.8,107.1,Home,4,-2.5,Underdog
19,21,10/20/2017,CLE,25,30,31,30,116,MIL,25,24,24,24,97,213,209.5,Over,MIL,1.0,104.8,105.4,-0.51,95.6,109.2,109.8,109.6,109.3,-0.13,97.9,111.8,111.5,Home,-19,-20.0,Underdog
20,22,10/20/2017,POR,31,31,29,23,114,IND,25,27,21,23,96,210,218.5,Under,POR,5.5,106.5,105.3,0.74,96.3,110.2,108.9,104.9,103.1,1.33,96.4,108.4,106.4,Away,18,12.5,Favorite
